County,Election,absentees_issued,absentees_counted,Total Voters,Total Ballots,Population_2010,RUCC_2013,Description,turnout_%,absentee_%_of_voters,absentee_%_of_population,population_1000s,FIPS
ADAMS COUNTY,2020_04_07-spring_election,3485,3196,5661,5661.0,20875.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.27118562874251495,0.5645645645645646,0.15310179640718563,20.875,55001
ASHLAND COUNTY,2020_04_07-spring_election,2507,2195,4118,4119.0,16157.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.25487404840007427,0.5330257406508013,0.13585442842111778,16.157,55003
BARRON COUNTY,2020_04_07-spring_election,6759,6090,11125,11122.0,45870.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.24253324613036845,0.5474157303370787,0.1327665140614781,45.87,55005
BAYFIELD COUNTY,2020_04_07-spring_election,3724,3487,6332,6213.0,15014.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.42173970960436924,0.5506948831332912,0.2322499000932463,15.014,55007
BROWN COUNTY,2020_04_07-spring_election,53655,47404,59472,58307.0,248007.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.23979968307346164,0.7970809792843692,0.19113976621627615,248.007,55009
BUFFALO COUNTY,2020_04_07-spring_election,2332,2161,3710,3755.0,13587.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.27305512622359607,0.5824797843665768,0.15904909104290865,13.587,55011
BURNETT COUNTY,2020_04_07-spring_election,2129,1837,4045,3992.0,15457.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.2616937309956654,0.45414091470951795,0.11884583036811801,15.457,55013
CALUMET COUNTY,2020_04_07-spring_election,11447,9749,13913,13914.0,48971.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.28410692042229074,0.7007115647236397,0.19907700475791795,48.971,55015
CHIPPEWA COUNTY,2020_04_07-spring_election,12175,11143,17281,17279.0,62415.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.2768725466634623,0.6448122215149587,0.1785308018905712,62.415,55017
CLARK COUNTY,2020_04_07-spring_election,3749,3481,7289,7300.0,34690.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.21011818968002305,0.4775689394978735,0.10034592101470165,34.69,55019
COLUMBIA COUNTY,2020_04_07-spring_election,12900,12027,17538,17537.0,56833.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.30858832016610066,0.6857680465275402,0.21162000950152202,56.833,55021
CRAWFORD COUNTY,2020_04_07-spring_election,2631,2423,4263,4264.0,16644.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.2561283345349676,0.5683790757682383,0.14557798606104302,16.644,55023
DANE COUNTY,2020_04_07-spring_election,181468,161083,201594,195656.0,488073.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.4130406721945283,0.7990465986090856,0.3300387442042481,488.073,55025
DODGE COUNTY,2020_04_07-spring_election,16888,15596,23322,23323.0,88759.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.26275645286675153,0.6687248091930366,0.17571175880755754,88.759,55027
DOOR COUNTY,2020_04_07-spring_election,9357,8641,11023,8111.0,27785.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.3967248515386,0.7839063775741631,0.31099514126327155,27.785,55029
DOUGLAS COUNTY,2020_04_07-spring_election,7227,6238,11020,5238.0,44159.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.2495527525532734,0.5660617059891107,0.14126225684458435,44.159,55031
DUNN COUNTY,2020_04_07-spring_election,7072,6239,10552,10552.0,43857.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2406001322479878,0.591262319939348,0.1422577923706592,43.857,55033
EAU CLAIRE COUNTY,2020_04_07-spring_election,23130,19803,28619,28613.0,98736.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.2898537514179225,0.6919528984241239,0.20056514341273698,98.736,55035
FLORENCE COUNTY,2020_04_07-spring_election,814,743,1420,1088.0,4423.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.32104906172281256,0.5232394366197183,0.1679855301831336,4.423,55037
FOND DU LAC COUNTY,2020_04_07-spring_election,19830,18358,26461,26462.0,101633.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.26035834817431347,0.6937757454366804,0.1806303070852971,101.633,55039
FOREST COUNTY,2020_04_07-spring_election,1544,1348,2762,2762.0,9304.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.2968615649183147,0.4880521361332368,0.14488392089423904,9.304,55041
GRANT COUNTY,2020_04_07-spring_election,8119,7422,11400,10988.0,51208.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.22262146539603186,0.6510526315789473,0.14493829089204813,51.208,55043
GREEN COUNTY,2020_04_07-spring_election,8094,7571,10928,10926.0,36842.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.2966179903371152,0.6928074670571011,0.20549915856902448,36.842,55045
GREEN LAKE COUNTY,2020_04_07-spring_election,3333,3120,4991,4991.0,19051.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2619809983727888,0.6251252254057303,0.16377093065980788,19.051,55047
IOWA COUNTY,2020_04_07-spring_election,5569,5221,7340,7341.0,23687.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.30987461476759404,0.7113079019073569,0.22041626208468781,23.687,55049
IRON COUNTY,2020_04_07-spring_election,1902,1796,2562,2562.0,5916.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.4330628803245436,0.7010148321623731,0.3035835023664638,5.916,55051
JACKSON COUNTY,2020_04_07-spring_election,2603,2275,4608,4608.0,20449.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.22534109247395961,0.4937065972222222,0.11125238397965671,20.449,55053
JEFFERSON COUNTY,2020_04_07-spring_election,18898,17302,24393,24390.0,83686.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.29148244628731207,0.7093018488910753,0.20674903807088402,83.686,55055
JUNEAU COUNTY,2020_04_07-spring_election,3713,3442,6364,6365.0,26664.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.23867386738673868,0.5408548082966688,0.12908790879087909,26.664,55057
KENOSHA COUNTY,2020_04_07-spring_election,30483,26300,36457,36433.0,166426.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.2190583202143896,0.7213978111199495,0.15802819271027363,166.426,55059
KEWAUNEE COUNTY,2020_04_07-spring_election,4020,3719,5517,5516.0,20574.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.26815398075240593,0.6740982417980786,0.1807621269563527,20.574,55061
LA CROSSE COUNTY,2020_04_07-spring_election,25267,21852,30522,30534.0,114638.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.2662467942567037,0.715942598781207,0.19061742179730978,114.638,55063
LAFAYETTE COUNTY,2020_04_07-spring_election,2817,2682,4390,4390.0,16836.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.26075077215490616,0.6109339407744875,0.15930149679258732,16.836,55065
LANGLADE COUNTY,2020_04_07-spring_election,2761,2592,5115,5113.0,19977.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2560444511187866,0.5067448680351906,0.12974921159333233,19.977,55067
LINCOLN COUNTY,2020_04_07-spring_election,5252,4665,7699,7708.0,28743.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2678565215878649,0.605922847123003,0.1623003861809832,28.743,55069
MANITOWOC COUNTY,2020_04_07-spring_election,15386,14384,20336,20489.0,81442.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.24969917241718032,0.7073170731707317,0.17661648780727388,81.442,55071
MARATHON COUNTY,2020_04_07-spring_election,25833,23193,36695,36675.0,134063.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.27371459686863636,0.6320479629377299,0.17300075337714357,134.063,55073
MARINETTE COUNTY,2020_04_07-spring_election,7848,7168,10970,10969.0,41749.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.26276078468945363,0.6534184138559709,0.17169273515533306,41.749,55075
MARQUETTE COUNTY,2020_04_07-spring_election,2432,2255,4297,4297.0,15404.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.27895351856660605,0.5247847335350244,0.14639054790963385,15.404,55077
MENOMINEE COUNTY,2020_04_07-spring_election,74,57,381,0.0,4232.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.09002835538752363,0.14960629921259844,0.013468809073724008,4.232,55078
MILWAUKEE COUNTY,2020_04_07-spring_election,207545,169553,208391,204900.0,947735.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.2198831951969696,0.8136291874409164,0.1789033854400228,947.735,55079
MONROE COUNTY,2020_04_07-spring_election,6230,5639,9967,9967.0,44673.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2231101560226535,0.5657670312029698,0.12622837060416806,44.673,55081
OCONTO COUNTY,2020_04_07-spring_election,7364,6882,10672,10677.0,37660.0,2.0,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      ",0.2833775889537971,0.6448650674662668,0.18274030801911842,37.66,55083
ONEIDA COUNTY,2020_04_07-spring_election,8437,7760,11846,10163.0,35998.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.3290738374354131,0.6550734425122404,0.21556753152952943,35.998,55085
OUTAGAMIE COUNTY,2020_04_07-spring_election,40690,35329,49060,49070.0,176695.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.2776535838591924,0.7201182225845904,0.19994340530292312,176.695,55087
OZAUKEE COUNTY,2020_04_07-spring_election,29686,26468,33142,33243.0,86395.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.3836101626251519,0.7986241023474745,0.30636032177788064,86.395,55089
PEPIN COUNTY,2020_04_07-spring_election,1204,1067,1894,1892.0,7469.0,8.0,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               ",0.25358147007631543,0.5633579725448785,0.14285714285714285,7.469,55091
PIERCE COUNTY,2020_04_07-spring_election,6338,5747,9461,9458.0,41019.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.23064921134108585,0.6074410738822534,0.14010580462712402,41.019,55093
POLK COUNTY,2020_04_07-spring_election,5633,4934,11778,11589.0,44205.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.266440447913132,0.41891662421463743,0.1116163329940052,44.205,55095
PORTAGE COUNTY,2020_04_07-spring_election,14921,13521,20252,20253.0,70019.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.2892357788600237,0.6676377641714398,0.19310472871649123,70.019,55097
PRICE COUNTY,2020_04_07-spring_election,2740,2564,4800,4632.0,14159.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.3390069920192104,0.5341666666666667,0.18108623490359488,14.159,55099
RACINE COUNTY,2020_04_07-spring_election,44938,39758,52888,51965.0,195408.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.2706542209121428,0.7517395250340342,0.2034614754769508,195.408,55101
RICHLAND COUNTY,2020_04_07-spring_election,2916,2673,4338,4333.0,18021.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.240719160978858,0.6161825726141079,0.1483269518894623,18.021,55103
ROCK COUNTY,2020_04_07-spring_election,30601,27181,37219,33520.0,160331.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.2321385134502997,0.7302990408124882,0.16953053370839077,160.331,55105
RUSK COUNTY,2020_04_07-spring_election,1950,1744,3771,3771.0,14755.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.255574381565571,0.46247679660567487,0.11819722128092172,14.755,55107
SAUK COUNTY,2020_04_07-spring_election,15374,14108,19545,19548.0,61976.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.31536401187556473,0.7218214377078537,0.22763650445333677,61.976,55111
SAWYER COUNTY,2020_04_07-spring_election,3105,2755,4982,3741.0,16557.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.30089992148336053,0.5529907667603372,0.1663948782992088,16.557,55113
SHAWANO COUNTY,2020_04_07-spring_election,6408,6064,10058,10060.0,41949.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2397673365276884,0.6029031616623584,0.14455648525590598,41.949,55115
SHEBOYGAN COUNTY,2020_04_07-spring_election,26156,23631,32954,30169.0,115507.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.2852987264841092,0.7170904897736239,0.204585003506281,115.507,55117
TAYLOR COUNTY,2020_04_07-spring_election,2832,2635,5134,5127.0,20689.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.24815119145439607,0.5132450331125827,0.12736236647493837,20.689,55119
TREMPEALEAU COUNTY,2020_04_07-spring_election,4082,3718,6721,6028.0,28816.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.23323847862298722,0.5531914893617021,0.12902554136590783,28.816,55121
VERNON COUNTY,2020_04_07-spring_election,5279,4802,8062,8062.0,29773.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2707822523763141,0.5956338377573803,0.16128707217949148,29.773,55123
VILAS COUNTY,2020_04_07-spring_election,5612,5133,7767,7770.0,21430.0,9.0,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           ",0.36243583761082593,0.6608729239088451,0.23952403173121792,21.43,55125
WALWORTH COUNTY,2020_04_07-spring_election,22370,20433,27811,25623.0,102228.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.2720487537660915,0.7347092876919205,0.19987674609695974,102.228,55127
WASHBURN COUNTY,2020_04_07-spring_election,2843,2564,5014,5014.0,15911.0,7.0,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            ",0.31512789893784177,0.511368169126446,0.16114637672050783,15.911,55129
WASHINGTON COUNTY,2020_04_07-spring_election,40194,37706,46922,46569.0,131887.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.3557742612994457,0.8035889348280124,0.28589625967684457,131.887,55131
WAUKESHA COUNTY,2020_04_07-spring_election,132651,121684,145878,145901.0,389891.0,1.0,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         ,0.3741507241767571,0.8341490834807168,0.3120974836556884,389.891,55133
WAUPACA COUNTY,2020_04_07-spring_election,9505,8748,13673,13670.0,52410.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.2608853272276283,0.6398010677978497,0.16691471093302804,52.41,55135
WAUSHARA COUNTY,2020_04_07-spring_election,3966,3616,6432,6432.0,24496.0,6.0,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                ",0.26257348138471587,0.5621890547263682,0.14761593729588504,24.496,55137
WINNEBAGO COUNTY,2020_04_07-spring_election,39430,32609,45968,44812.0,166994.0,3.0,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        ",0.27526737487574404,0.7093847894187261,0.19527048876007522,166.994,55139
WOOD COUNTY,2020_04_07-spring_election,14486,13288,21496,21495.0,74749.0,4.0,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 ",0.28757575352178627,0.618161518422032,0.1777682644583874,74.749,55141
